country,year,tumor_deaths,digestive_deaths,tumor_rank
圣卢西亚岛,2001,185.27629570664138,38.364278457953795,2.0
圣基茨和尼维斯联邦,2001,61.76653956384962,15.765234361605652,2.0
圣多美和普林西比民主共和国,2001,68.3616744983636,83.00397603188858,9.0
圣文森特和格林纳丁斯,2001,134.76886699433408,27.75740772672033,2.0
圣马力诺共和国,2001,67.40443741270175,7.154461905168433,2.0
圭亚那,2001,512.3371814971379,260.11028567043735,3.0
坦桑尼亚联合共和国,2001,19071.940475292726,10181.490613530577,8.0
埃及,2001,32556.324059198538,47154.03623810006,5.0
埃塞俄比亚,2001,41569.40686428405,30632.29216075877,8.0
基里巴斯,2001,36.47005799821298,30.742990422186992,7.0
塔吉克斯坦,2001,2924.4486306604977,1453.2813077044548,4.0
塞内加尔,2001,3779.6555567341666,3951.7233978643508,9.0
塞尔维亚,2001,24166.50782135356,4079.5138658391725,2.0
塞拉利昂,2001,2212.0873259616096,2714.4347262692995,9.0
塞浦路斯,2001,1601.7408762444038,298.9265715442256,2.0
塞舌尔,2001,110.21608609035614,44.19054725412034,2.0
墨西哥,2001,63419.213207502515,44131.672258509294,3.0
多哥,2001,1524.98596208936,1459.512848982606,9.0
多米尼加共和国,2001,5489.461507030287,2090.2592739810348,2.0
多米尼加岛,2001,112.74390522270335,19.720834347438878,2.0
大韩民国,2001,71622.66605690686,17399.897144787374,1.0
奥地利,2001,19653.081836181376,3443.50693613475,2.0
委内瑞拉玻利瓦尔共和国,2001,17452.372460768154,4619.767395648673,2.0
孟加拉国,2001,64798.92473164047,48609.82106117721,5.0
安哥拉,2001,6201.093801357936,4705.8755209950505,10.0
安提瓜和巴布达,2001,90.83984780148158,16.16246230229901,2.0
安道尔共和国,2001,145.8458712416921,21.295221986241756,1.0
密克罗尼西亚联邦,2001,84.3747354399466,44.52219262243278,3.0
尼加拉瓜,2001,2246.290311358987,1204.6585619442667,2.0
尼日利亚,2001,57266.46242777072,38542.43789632708,8.0
尼日尔,2001,3234.445852472319,4029.041491743506,12.0
尼泊尔,2001,8938.202733548613,10447.116861685443,8.0
巴勒斯坦,2001,1283.735465020107,383.49204316770255,3.0
巴哈马,2001,350.5886722434582,84.92078581544885,2.0
巴基斯坦,2001,74381.4919932862,58872.492647285486,6.0
巴巴多斯,2001,475.56498726929027,80.28498083999042,2.0
